Suburb,Postcode,Crimes_Against_Person,Prop_Deception_Off,Drug_Off,PublicOrder_Security_Off,JusticeProc_Off,Other,Total
Narre Warren,3805,703,2378,348,285,579,44,4337
Wyndham Vale,3024,214,665,75,54,202,8,1218
Glen Waverly,3150,326,1438,134,98,152,18,2166
Werribee South,3030,23,137,13,18,36,8,235
Tarneit,3029,415,1404,94,102,202,36,2253
Manor Lakes,3024,129,295,18,24,43,9,518
Laverton North,3026,43,631,23,32,22,3,754
Caulfield,3162,174,702,54,45,99,8,1082
Altona Meadows,3028,160,577,94,51,122,13,1017
Sunshine North,3020,120,838,100,55,90,5,1208
Mulgrave,3170,171,997,80,51,60,13,1372
Notting Hill,3168,20,105,19,9,10,0,163
Clayton South,3169,113,449,52,53,56,4,727
Moonee Ponds,3039,168,999,52,62,163,5,1449
Niddrie,3042,59,177,38,19,88,0,381
Maribyrnong,3032,141,1266,70,124,153,10,1764
