Suburb,Postcode,Crimes_Against_Person,Prop_Deception_Off,Drug_Off,PublicOrder_Security_Off,JusticeProc_Off,Other,Total
Carlton,3053,260,1079,114,126,128,148,1855
Carlton North,3054,50,290,14,10,50,57,471
Docklands,3008,396,1309,450,282,239,606,3282
East Melbourne,3002,114,523,121,148,87,394,1387
Flemington,3031,158,475,63,29,91,93,909
Kensington,3031,81,461,28,36,25,106,737
North Melbourne,3051,264,902,140,90,143,154,1693
Melbourne,3000,1929,4115,199,1435,1214,21,8913
Parkville,3052,132,446,36,33,61,80,788
Tullamarine,3043,133,916,145,50,129,64,1437
Port Melbourne,3207,230,1302,185,138,239,136,2230
Southbank,3006,430,1591,462,297,196,602,3578
South Wharf,3006,15,131,9,17,8,1,181
South Yarra,3141,334,1834,347,166,257,307,3245
West Melbourne,3003,134,629,88,58,85,283,1277
Albert Park,3206,48,360,14,31,42,73,568
Balaclava,3183,103,296,41,52,47,54,593
Elwood,3184,153,505,51,40,67,79,895
Middle Park,3206,27,195,7,5,22,8,264
Ripponlea,3185,20,57,6,3,6,9,101
St Kilda,3182,742,2390,438,314,598,476,4958
St Kilda East,3183,133,446,59,36,67,37,778
St Kilda West,3182,42,131,17,14,34,36,274
South Melbourne,3205,316,1376,217,144,258,416,2727
Abbotsford,3067,124,936,130,93,49,130,1462
Alphington,3078,39,173,7,8,12,13,252
Burnley,3121,9,93,12,7,16,42,179
Westmeadows,3049,104,274,65,20,52,48,563
Clifton Hill,3068,58,303,23,12,22,23,441
Collingwood,3066,289,1306,124,147,287,237,2390
Cremorne,3121,24,215,1,17,37,20,314
Fairfield,3078,78,339,19,14,19,26,495
Fitzroy,3065,396,1323,125,178,192,169,2383
Fitzroy North,3068,126,643,35,45,39,51,939
Princes Hill ,3054,29,110,5,3,31,8,186
Richmond,3121,460,2500,562,357,395,550,4824
Cocoroc,3030,0,10,0,1,2,0,13
Briar Hill,3088,21,45,6,2,16,5,95
Bundoora,3083,302,1119,215,128,228,107,2099
Eaglemont,3084,8,74,4,3,8,3,100
Eltham,3095,144,488,54,61,105,27,879
Eltham North,3095,29,77,0,14,23,2,145
Greensborough,3088,164,727,102,65,131,75,1264
Heidelberg,3084,153,459,131,48,570,59,1420
Heidelberg Heights,3081,108,321,85,35,195,59,803
Heidelberg West,3081,177,496,209,116,192,118,1308
Ivanhoe,3079,108,621,52,36,49,12,878
Ivanhoe East ,3079,9,92,2,5,8,0,116
Lower Plenty,3093,29,85,12,9,17,5,157
Macleod,3085,69,229,9,12,59,11,389
Montmorency,3094,48,109,17,22,60,3,259
Rosanna,3084,61,188,36,13,43,18,359
St Helena,3088,7,76,0,1,4,6,94
Viewbank,3084,22,123,9,17,21,6,198
Watsonia,3087,72,275,96,25,77,51,596
Watsonia North,3087,20,56,19,2,14,11,122
Yallambie,3085,15,125,14,24,24,20,222
Alphington,3078,39,173,7,8,12,13,252
Bundoora,3083,302,1119,215,128,228,107,2099
Coburg,3058,381,1993,166,141,255,183,3119
Coburg North,3058,95,533,45,34,82,53,842
Fairfield,3078,78,339,19,14,19,26,495
