Suburb,Postcode,Crimes_Against_Person,Prop_Deception_Off,Drug_Off,PublicOrder_Security_Off,JusticeProc_Off,Other,Total
Kingsbury,3083,82,193,50,18,60,41,444
Macleod,3085,69,229,9,12,59,11,389
Northcote,3070,211,1051,42,89,114,64,1571
Preston,3072,563,2744,371,246,473,341,4738
Reservoir,3073,726,2566,767,350,838,485,5732
Thornbury,3071,166,828,94,61,131,81,1361
Attwood,3049,15,48,7,3,3,3,79
Broadmeadows,3047,575,1198,242,173,725,355,3268
Campbellfield,3061,149,739,90,80,107,79,1244
Coolaroo,3048,96,208,64,47,53,92,560
Craigieburn,3064,923,1844,206,163,693,264,4093
Dallas,3047,115,228,43,28,95,72,581
Gladstone Park,3043,87,231,32,27,90,30,497
Greenvale,3059,132,409,80,44,158,89,912
Jacana,3047,52,174,27,13,29,59,354
Keilor,3036,37,190,20,12,60,23,342
Meadow Heights,3048,279,460,146,95,319,140,1439
Melbourne Airport,3045,14,166,65,40,11,24,320
Roxburgh Park,3064,239,541,112,53,215,117,1277
Somerton,3062,23,129,7,9,13,17,198
Bulla,3428,10,51,9,3,10,8,91
Wildwood,3429,3,17,5,5,2,0,32
Yuroke,3063,2,10,3,1,0,7,23
Brunswick,3056,263,1605,124,95,203,140,2430
Fawkner,3060,194,455,84,52,213,69,1067
Hurstbridge,3099,18,59,12,17,21,3,130
Plenty,3090,5,39,3,2,13,4,66
Christmas Hills,3775,6,11,1,7,5,2,32
Epping,3076,608,1669,333,189,482,343,3624
Lalor,3075,311,631,227,82,195,105,1551
Beveridge,3753,55,77,6,18,71,29,256
Balwyn,3103,81,313,5,9,49,20,477
Camberwell,3124,81,840,38,30,55,34,1078
Glen Iris,3146,112,677,51,28,109,74,1051
Knoxfield,3180,56,352,70,20,44,20,562
Ferntree Gully,3156,271,970,177,113,268,88,1887
Doncaster,3108,220,922,81,55,139,59,1476
Warrandyte,3113,10,83,5,6,13,8,125
Croydon,3136,460,1087,347,243,558,133,2828
Ringwood,3134,386,1504,227,206,680,97,3100
Box Hill,3128,297,1328,127,108,242,196,2298
Burwood,3125,132,549,62,20,144,61,968
Vermont,3133,101,494,37,40,94,24,790
Surrey Hills,3127,47,288,2,7,50,21,415
Belgrave,3160,57,305,40,27,17,60,506
Healesville,3777,62,180,31,29,50,41,393
Brighton,3186,123,757,35,24,88,65,1092
Cheltenham,3192,249,1022,78,109,263,78,1799
Sandringham,3191,91,567,35,54,89,44,880
Pakenham,3810,751,1961,231,246,797,401,4387
Emerald,3782,32,85,8,3,70,28,226
Bunyip,3815,15,55,4,14,24,3,115
Garfield,3814,7,32,3,6,4,4,56
Cranbourne,3977,1283,2998,576,389,1172,676,7094
Berwick,3806,435,1124,152,102,417,106,2336
Warneet,3980,7,5,0,1,0,0,13
Dandenong,3175,1493,4838,706,645,1561,179,9422
Springvale,3171,336,1403,241,141,277,255,2653
Keysborough,3173,251,960,108,66,207,82,1674
Seaford,3198,319,828,248,142,349,233,2119
Frankston,3199,1084,2996,742,690,1435,771,7718
Sandhurst,3977,20,27,3,3,13,1,67
Bentleigh,3204,159,534,30,32,121,85,961
McKinnon,3204,29,117,20,3,46,12,227
Clayton,3168,323,1133,92,78,150,151,1927
Highett,3190,85,412,47,41,262,52,899
Mentone,3194,102,447,46,33,78,41,747
Chadstone,3148,149,620,63,61,119,80,1092
Huntingdale,3166,15,91,17,7,6,10,146
Mount Waverly,3149,196,844,65,50,160,71,1386
Oakleigh,3166,166,850,106,83,169,124,1498
Mornington,3931,245,611,133,126,367,120,1602
Somerville,3912,252,99,58,26,138,49,622
Arthurs Seat,3936,3,16,4,0,3,35,61
Shoreham,3916,1,5,0,0,0,2,8
Armadale,3143,63,387,15,14,39,23,541
Malvern,3144,64,593,36,23,32,2,750
Toorak,3142,87,581,41,33,63,37,842
Cairnlea,3023,63,228,58,44,53,44,490
Deer Park,3023,326,882,101,141,255,125,1830
Sunshine,3020,712,2513,412,320,845,561,5363
Altona,3018,118,338,91,57,83,101,788
Laverton,3028,109,354,19,22,47,47,598
Newport,3015,87,333,11,12,61,38,542
Seabrook,3028,57,104,4,5,49,14,233
Footscray,3011,378,1436,157,266,165,281,2683
Yarraville,3013,73,621,38,44,52,28,856
Melton,3337,659,1379,213,249,585,272,3357
Caroline Springs,3023,235,713,73,64,240,121,1446
Truganina,3029,224,1074,72,45,250,100,1765
Airport West,3042,68,464,59,43,75,49,758
Essendon,3040,175,836,156,64,139,161,1531
Strathmore,3041,39,226,22,17,35,23,362
Point Cook,3030,522,1385,108,86,374,181,2656
Hoppers Crossing,3029,481,1626,194,129,342,181,2953
Werribee,3030,1012,2200,359,343,870,355,5139
Williams Landing,3030,66,292,29,25,59,32,503
Sunbury,3429,573,1110,213,203,579,296,2974
Geelong,3220,347,1296,207,282,574,100,2806
Tarnagulla,3551,5,1,0,0,1,3,10
Terang,3264,21,62,7,8,11,10,119
Walwa,3709,1,2,1,1,1,0,6
Warrandyte,3113,9,83,6,2,9,8,117
Werrimull,3496,0,3,0,0,0,0,3
Suburb,Postcode,Crimes_Against_Person,Prop_Deception_Off,Drug_Off,PublicOrder_Security_Off,JusticeProc_Off,Other,Total
Carlton,3053,260,1079,114,126,128,148,1855
Carlton North,3054,50,290,14,10,50,57,471
Docklands,3008,396,1309,450,282,239,606,3282
East Melbourne,3002,114,523,121,148,87,394,1387
Flemington,3031,158,475,63,29,91,93,909
Kensington,3031,81,461,28,36,25,106,737
North Melbourne,3051,264,902,140,90,143,154,1693
Melbourne,3000,1929,4115,199,1435,1214,21,8913
Parkville,3052,132,446,36,33,61,80,788
Tullamarine,3043,133,916,145,50,129,64,1437
Port Melbourne,3207,230,1302,185,138,239,136,2230
Southbank,3006,430,1591,462,297,196,602,3578
South Wharf,3006,15,131,9,17,8,1,181
South Yarra,3141,334,1834,347,166,257,307,3245
West Melbourne,3003,134,629,88,58,85,283,1277
Albert Park,3206,48,360,14,31,42,73,568
Balaclava,3183,103,296,41,52,47,54,593
Elwood,3184,153,505,51,40,67,79,895
Middle Park,3206,27,195,7,5,22,8,264
Ripponlea,3185,20,57,6,3,6,9,101
St Kilda,3182,742,2390,438,314,598,476,4958
St Kilda East,3183,133,446,59,36,67,37,778
St Kilda West,3182,42,131,17,14,34,36,274
South Melbourne,3205,316,1376,217,144,258,416,2727
Abbotsford,3067,124,936,130,93,49,130,1462
Alphington,3078,39,173,7,8,12,13,252
Burnley,3121,9,93,12,7,16,42,179
Westmeadows,3049,104,274,65,20,52,48,563
Clifton Hill,3068,58,303,23,12,22,23,441
Collingwood,3066,289,1306,124,147,287,237,2390
Cremorne,3121,24,215,1,17,37,20,314
Fairfield,3078,78,339,19,14,19,26,495
Fitzroy,3065,396,1323,125,178,192,169,2383
Fitzroy North,3068,126,643,35,45,39,51,939
Princes Hill ,3054,29,110,5,3,31,8,186
Richmond,3121,460,2500,562,357,395,550,4824
Cocoroc,3030,0,10,0,1,2,0,13
Briar Hill,3088,21,45,6,2,16,5,95
Bundoora,3083,302,1119,215,128,228,107,2099
Eaglemont,3084,8,74,4,3,8,3,100
Eltham,3095,144,488,54,61,105,27,879
Eltham North,3095,29,77,0,14,23,2,145
Greensborough,3088,164,727,102,65,131,75,1264
Heidelberg,3084,153,459,131,48,570,59,1420
Heidelberg Heights,3081,108,321,85,35,195,59,803
Heidelberg West,3081,177,496,209,116,192,118,1308
Ivanhoe,3079,108,621,52,36,49,12,878
Ivanhoe East ,3079,9,92,2,5,8,0,116
Lower Plenty,3093,29,85,12,9,17,5,157
Macleod,3085,69,229,9,12,59,11,389
Montmorency,3094,48,109,17,22,60,3,259
Rosanna,3084,61,188,36,13,43,18,359
St Helena,3088,7,76,0,1,4,6,94
Viewbank,3084,22,123,9,17,21,6,198
Watsonia,3087,72,275,96,25,77,51,596
Watsonia North,3087,20,56,19,2,14,11,122
Yallambie,3085,15,125,14,24,24,20,222
Alphington,3078,39,173,7,8,12,13,252
Bundoora,3083,302,1119,215,128,228,107,2099
Coburg,3058,381,1993,166,141,255,183,3119
Coburg North,3058,95,533,45,34,82,53,842
Fairfield,3078,78,339,19,14,19,26,495
Kingsbury,3083,82,193,50,18,60,41,444
Macleod,3085,69,229,9,12,59,11,389
Northcote,3070,211,1051,42,89,114,64,1571
Preston,3072,563,2744,371,246,473,341,4738
Reservoir,3073,726,2566,767,350,838,485,5732
Thornbury,3071,166,828,94,61,131,81,1361
Attwood,3049,15,48,7,3,3,3,79
Broadmeadows,3047,575,1198,242,173,725,355,3268
Campbellfield,3061,149,739,90,80,107,79,1244
Coolaroo,3048,96,208,64,47,53,92,560
Craigieburn,3064,923,1844,206,163,693,264,4093
Dallas,3047,115,228,43,28,95,72,581
Gladstone Park,3043,87,231,32,27,90,30,497
Greenvale,3059,132,409,80,44,158,89,912
Jacana,3047,52,174,27,13,29,59,354
Keilor,3036,37,190,20,12,60,23,342
Meadow Heights,3048,279,460,146,95,319,140,1439
Melbourne Airport,3045,14,166,65,40,11,24,320
Roxburgh Park,3064,239,541,112,53,215,117,1277
Somerton,3062,23,129,7,9,13,17,198
Bulla,3428,10,51,9,3,10,8,91
Wildwood,3429,3,17,5,5,2,0,32
Yuroke,3063,2,10,3,1,0,7,23
Brunswick,3056,263,1605,124,95,203,140,2430
Fawkner,3060,194,455,84,52,213,69,1067
Hurstbridge,3099,18,59,12,17,21,3,130
Plenty,3090,5,39,3,2,13,4,66
Christmas Hills,3775,6,11,1,7,5,2,32
Epping,3076,608,1669,333,189,482,343,3624
Lalor,3075,311,631,227,82,195,105,1551
Beveridge,3753,55,77,6,18,71,29,256
Balwyn,3103,81,313,5,9,49,20,477
Camberwell,3124,81,840,38,30,55,34,1078
Glen Iris,3146,112,677,51,28,109,74,1051
Knoxfield,3180,56,352,70,20,44,20,562
Ferntree Gully,3156,271,970,177,113,268,88,1887
Doncaster,3108,220,922,81,55,139,59,1476
Warrandyte,3113,10,83,5,6,13,8,125
Croydon,3136,460,1087,347,243,558,133,2828
Ringwood,3134,386,1504,227,206,680,97,3100
Box Hill,3128,297,1328,127,108,242,196,2298
Burwood,3125,132,549,62,20,144,61,968
Vermont,3133,101,494,37,40,94,24,790
Surrey Hills,3127,47,288,2,7,50,21,415
Belgrave,3160,57,305,40,27,17,60,506
Healesville,3777,62,180,31,29,50,41,393
Brighton,3186,123,757,35,24,88,65,1092
Cheltenham,3192,249,1022,78,109,263,78,1799
Sandringham,3191,91,567,35,54,89,44,880
Pakenham,3810,751,1961,231,246,797,401,4387
Emerald,3782,32,85,8,3,70,28,226
Bunyip,3815,15,55,4,14,24,3,115
Garfield,3814,7,32,3,6,4,4,56
Cranbourne,3977,1283,2998,576,389,1172,676,7094
Berwick,3806,435,1124,152,102,417,106,2336
Warneet,3980,7,5,0,1,0,0,13
Dandenong,3175,1493,4838,706,645,1561,179,9422
Springvale,3171,336,1403,241,141,277,255,2653
Keysborough,3173,251,960,108,66,207,82,1674
Seaford,3198,319,828,248,142,349,233,2119
Frankston,3199,1084,2996,742,690,1435,771,7718
Sandhurst,3977,20,27,3,3,13,1,67
Bentleigh,3204,159,534,30,32,121,85,961
McKinnon,3204,29,117,20,3,46,12,227
Clayton,3168,323,1133,92,78,150,151,1927
Highett,3190,85,412,47,41,262,52,899
Mentone,3194,102,447,46,33,78,41,747
Chadstone,3148,149,620,63,61,119,80,1092
Huntingdale,3166,15,91,17,7,6,10,146
Mount Waverly,3149,196,844,65,50,160,71,1386
Oakleigh,3166,166,850,106,83,169,124,1498
Mornington,3931,245,611,133,126,367,120,1602
Somerville,3912,252,99,58,26,138,49,622
Arthurs Seat,3936,3,16,4,0,3,35,61
Shoreham,3916,1,5,0,0,0,2,8
Armadale,3143,63,387,15,14,39,23,541
Malvern,3144,64,593,36,23,32,2,750
Toorak,3142,87,581,41,33,63,37,842
Cairnlea,3023,63,228,58,44,53,44,490
Deer Park,3023,326,882,101,141,255,125,1830
Sunshine,3020,712,2513,412,320,845,561,5363
Altona,3018,118,338,91,57,83,101,788
Laverton,3028,109,354,19,22,47,47,598
Newport,3015,87,333,11,12,61,38,542
Seabrook,3028,57,104,4,5,49,14,233
Footscray,3011,378,1436,157,266,165,281,2683
Yarraville,3013,73,621,38,44,52,28,856
Melton,3337,659,1379,213,249,585,272,3357
Caroline Springs,3023,235,713,73,64,240,121,1446
Truganina,3029,224,1074,72,45,250,100,1765
Airport West,3042,68,464,59,43,75,49,758
Essendon,3040,175,836,156,64,139,161,1531
Strathmore,3041,39,226,22,17,35,23,362
Point Cook,3030,522,1385,108,86,374,181,2656
Hoppers Crossing,3029,481,1626,194,129,342,181,2953
Werribee,3030,1012,2200,359,343,870,355,5139
Williams Landing,3030,66,292,29,25,59,32,503
Sunbury,3429,573,1110,213,203,579,296,2974
Geelong,3220,347,1296,207,282,574,100,2806
Tarnagulla,3551,5,1,0,0,1,3,10
Terang,3264,21,62,7,8,11,10,119
Walwa,3709,1,2,1,1,1,0,6
Warrandyte,3113,9,83,6,2,9,8,117
Werrimull,3496,0,3,0,0,0,0,3
Manangatang,3546,0,4,0,0,0,0,4
Quandong,3030,0,3,1,0,0,0,4
Clarkefield,3430,5,18,3,6,1,0,33
Diggers Rest,3427,45,151,30,18,85,10,339
Mickleham,3064,153,361,47,37,85,134,817
Oaklands Junction,3063,22,10,0,0,8,3,43
Brunswick East,3057,98,510,20,25,43,22,718
Brunswick West,3055,106,699,70,29,99,42,1045
Glenroy,3046,348,1022,161,131,362,215,2239
Gowanbrae,3043,14,52,11,5,5,7,94
Hadfield,3046,56,211,31,17,95,29,439
Oak Park,3046,36,128,31,11,30,36,272
Pascoe Vale,3044,245,785,80,56,243,67,1476
Pascoe Vale South,3044,67,303,21,20,52,17,480
Diamond Creek,3089,100,218,21,38,111,20,508
North Warrandyte,3113,8,15,3,9,24,1,60
Research,3095,9,35,0,7,7,4,62
Wattle Glen,3096,10,11,0,1,0,4,26
Bend Of Islands,3097,1,1,0,0,0,0,2
Cottles Bridge,3099,7,12,1,9,1,0,30
Doreen,3754,183,388,52,54,173,23,873
Kangaroo Ground,3097,14,19,0,2,11,1,47
Kinglake,3763,23,24,1,1,16,13,78
Kinglake West,3757,5,23,0,2,3,17,50
Nutfield,3099,2,4,0,0,2,0,8
Panton Hill,3759,3,4,5,0,1,1,14
Smiths Gully,3760,0,4,0,0,0,0,4
Strathewen,3099,2,2,1,2,1,0,8
Watsons Creek,3097,0,0,0,0,0,0,0
Yan Yean,3755,2,7,5,1,0,8,23
Yarrambat,3091,7,25,3,4,12,7,58
Mernda,3754,252,762,103,75,352,85,1629
Mill Park,3082,383,978,137,94,398,77,2067
South Morang,3752,222,502,92,50,217,56,1139
Thomastown,3074,455,1200,313,122,258,196,2544
Donnybrook,3064,16,80,6,2,7,11,122
Eden Park,3757,7,3,0,1,10,4,25
Humevale,3757,0,9,1,3,0,0,13
Whittlesea,3757,75,130,16,45,97,13,376
Wollert,3750,174,528,53,35,150,46,986
Woodstock,3751,3,4,0,0,3,1,11
Ashburton,3147,68,361,73,21,45,48,616
Balwyn North,3104,92,353,12,12,53,9,531
Canterbury,3126,17,153,2,12,10,1,195
Deepdene,3103,6,38,0,1,3,5,53
Hawthorn,3122,146,1044,53,54,79,55,1431
Hawthorn East,3123,95,610,36,32,49,24,846
Kew,3101,195,1039,70,52,145,91,1592
Mont Albert,3127,37,221,12,5,13,20,308
Surrey Hills,3127,48,287,2,7,50,21,415
Bayswater,3153,292,1145,206,114,338,83,2178
Narre Warren,3805,715,1568,254,165,555,201,3458
Wyndham Vale,3024,237,523,51,38,283,56,1188
Glen Waverly,3150,324,1333,192,95,260,138,2342
Werribee South,3030,34,115,8,3,30,26,216
Tarneit,3029,442,1282,114,105,219,154,2316
Manor Lakes,3024,136,277,11,24,60,36,544
Laverton North,3026,35,588,23,15,11,30,702
Caulfield,3162,127,506,61,42,70,50,856
Altona Meadows,3028,132,450,103,52,141,49,927
Sunshine North,3020,155,820,104,63,140,71,1353
Mulgrave,3170,322,791,90,83,100,67,1453
Notting Hill,3168,61,124,11,2,39,7,244
Clayton South,3169,120,608,53,42,131,45,999
Moonee Ponds,3039,158,762,56,56,140,86,1258
Niddrie,3042,37,159,10,7,26,19,258
Maribyrnong,3032,129,983,83,77,74,68,1414
